Steel,C,Si,Mn,Cr,Mo,Ni,Al,Cu,ppmB,Pa,Rc,lnRc,Texp
MR43,0.18,0.3,1.61,0.39,0.52,1.27,0,0.23,0,1120.64,0.015,-4.199705078,710
MR45,0.15,0.24,0.06,0.07,0,0,0,0.17,0,1120.64,80,4.382026635,730
MR45,0.15,0.24,0.06,0.07,0,0,0,0.17,0,1120.64,15,2.708050201,765
MR45,0.15,0.24,0.05,0.07,0,0,0,0.17,0,1120.64,1.6,0.470003629,800
MR47,0.42,0.34,0.7,1.28,0.05,0.16,0.03,0.43,0,1092.28,1.12,0.113328685,690
MR47,0.42,0.34,0.7,1.28,0.05,0.16,0.03,0.43,0,1092.28,0.14,-1.966112856,700
MR47,0.42,0.34,0.7,1.28,0.05,0.16,0.03,0.43,0,1092.28,0.075,-2.590267165,710
MR47,0.42,0.34,0.7,1.28,0.05,0.16,0.03,0.43,0,1092.28,0.037,-3.296837366,720
MR48,0.42,0.34,0.72,1.27,0.05,0.16,0.03,0.43,0,1252.45,1.5,0.405465108,665
MR48,0.42,0.34,0.73,1.27,0.05,0.16,0.03,0.43,0,1252.45,0.17,-1.771956842,685
MR48,0.42,0.34,0.73,1.27,0.05,0.16,0.03,0.43,0,1252.45,0.089,-2.419118909,700
MR48,0.42,0.33,0.73,1.27,0.05,0.16,0.03,0.43,0,1252.45,0.044,-3.123565645,715
MR49,0.25,0.42,0.79,1.2,0.31,0,0,0,0,1101.74,1.2,0.182321557,720
MR49,0.25,0.42,0.79,1.2,0.31,0,0,0,0,1101.74,0.15,-1.897119985,740
MR49,0.25,0.42,0.79,1.2,0.31,0,0,0,0,1101.74,0.04,-3.218875825,750
MR50,0.4,0.32,0.49,1.28,0.36,0.16,0,0.22,0,1257.14,0.17,-1.771956842,685
MR50,0.4,0.32,0.49,1.27,0.36,0.16,0,0.22,0,1257.14,0.089,-2.419118909,700
MR50,0.4,0.32,0.5,1.27,0.36,0.16,0,0.22,0,1257.14,0.044,-3.123565645,715
MR51,0.51,0.47,0.5,1.27,0.35,0.16,0.03,0.28,0,1101.74,0.15,-1.897119985,710
